Name,Code
cancer,C000
cancer,C001
cancer,C002
cancer,C003
cancer,C004
cancer,C005
cancer,C006
cancer,C008
cancer,C009
cancer,C01
cancer,C010
cancer,C019
cancer,C020
cancer,C021
cancer,C022
cancer,C023
cancer,C024
cancer,C028
cancer,C029
cancer,C030
cancer,C031
cancer,C039
cancer,C040
cancer,C041
cancer,C048
cancer,C049
cancer,C050
cancer,C051
cancer,C052
cancer,C058
cancer,C059
cancer,C060
cancer,C061
cancer,C062
cancer,C068
cancer,C069
cancer,C07
cancer,C070
cancer,C079
cancer,C080
cancer,C081
cancer,C088
cancer,C089
cancer,C090
cancer,C091
cancer,C098
cancer,C099
cancer,C100
cancer,C101
cancer,C102
cancer,C103
cancer,C104
cancer,C108
cancer,C109
cancer,C110
cancer,C111
cancer,C112
cancer,C113
cancer,C118
cancer,C119
cancer,C12
cancer,C120
cancer,C129
cancer,C130
cancer,C131
cancer,C132
cancer,C138
cancer,C139
cancer,C140
cancer,C142
cancer,C148
cancer,C150
cancer,C151
cancer,C152
cancer,C153
cancer,C154
cancer,C155
cancer,C158
cancer,C159
cancer,C160
cancer,C161
cancer,C162
cancer,C163
cancer,C164
cancer,C165
cancer,C166
cancer,C168
cancer,C169
cancer,C170
cancer,C171
cancer,C172
cancer,C173
cancer,C178
cancer,C179
cancer,C180
cancer,C181
cancer,C182
cancer,C183
cancer,C184
cancer,C185
cancer,C186
cancer,C187
cancer,C188
cancer,C189
cancer,C19
cancer,C190
cancer,C199
cancer,C20
cancer,C200
cancer,C209
cancer,C210
cancer,C211
cancer,C212
cancer,C218
cancer,C220
cancer,C221
cancer,C222
cancer,C223
cancer,C224
cancer,C227
cancer,C229
cancer,C23
cancer,C230
cancer,C239
cancer,C240
cancer,C241
cancer,C248
cancer,C249
cancer,C250
cancer,C251
cancer,C252
cancer,C253
cancer,C254
cancer,C257
cancer,C258
cancer,C259
cancer,C260
cancer,C261
cancer,C268
cancer,C269
cancer,C300
cancer,C301
cancer,C310
cancer,C311
cancer,C312
cancer,C313
cancer,C318
cancer,C319
cancer,C320
cancer,C321
cancer,C322
cancer,C323
cancer,C328
cancer,C329
cancer,C33
cancer,C330
cancer,C339
cancer,C340
cancer,C341
cancer,C342
cancer,C343
cancer,C348
cancer,C349
cancer,C37
cancer,C370
cancer,C379
cancer,C380
cancer,C381
cancer,C382
cancer,C383
cancer,C384
cancer,C388
cancer,C390
cancer,C398
cancer,C399
cancer,C400
cancer,C401
cancer,C402
cancer,C403
cancer,C408
cancer,C409
cancer,C410
cancer,C411
cancer,C412
cancer,C413
cancer,C414
cancer,C418
cancer,C419
cancer,C430
cancer,C431
cancer,C432
cancer,C433
cancer,C434
cancer,C435
cancer,C436
cancer,C437
cancer,C438
cancer,C439
cancer,C440
cancer,C441
cancer,C442
cancer,C443
cancer,C444
cancer,C445
cancer,C446
cancer,C447
cancer,C448
cancer,C449
cancer,C450
cancer,C451
cancer,C452
cancer,C457
cancer,C459
cancer,C460
cancer,C461
cancer,C462
cancer,C463
cancer,C467
cancer,C468
cancer,C469
cancer,C470
cancer,C471
cancer,C472
cancer,C473
cancer,C474
cancer,C475
cancer,C476
cancer,C478
cancer,C479
cancer,C480
cancer,C481
cancer,C482
cancer,C488
cancer,C490
cancer,C491
cancer,C492
cancer,C493
cancer,C494
cancer,C495
cancer,C496
cancer,C498
cancer,C499
cancer,C500
cancer,C501
cancer,C502
cancer,C503
cancer,C504
cancer,C505
cancer,C506
cancer,C508
cancer,C509
cancer,C510
cancer,C511
cancer,C512
cancer,C518
cancer,C519
cancer,C52
cancer,C520
cancer,C529
cancer,C530
cancer,C531
cancer,C538
cancer,C539
cancer,C540
cancer,C541
cancer,C542
cancer,C543
cancer,C548
cancer,C549
cancer,C55
cancer,C550
cancer,C559
cancer,C56
cancer,C560
cancer,C569
cancer,C570
cancer,C571
cancer,C572
cancer,C573
cancer,C574
